,Kode,Produk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1800,3011,3012,3020,3030,3040,3050,3060,3090,3100,4011,4012,4013,4019,5011,5012,5013,5019,6090,7000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Pertanian, Kehutanan, dan Perikanan",Pertambangan dan Penggalian,Industri Pengolahan,Pengadaan Listrik dan Gas,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Konstruksi,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Transportasi dan Pergudangan,Penyediaan Akomodasi dan Makan Minum,Informasi dan Komunikasi,Jasa Keuangan dan Asuransi,Real Estate,Jasa Perusahaan,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Jasa Pendidikan,Jasa Kesehatan dan Kegiatan Sosial,Jasa lainnya,Total Permintaan Antara,Konsumsi Rumah Tangga,Konsumsi LNPRT,Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Ekspor Barang (F.o.b),Ekspor Jasa,Total Permintaan Akhir,Total Permintaan,Impor Barang (c.i.f),Impor Jasa,Adjustment (i.f),Total Impor,Marjin Perdagangan Besar,Marjin Perdagangan Eceran,Biaya Pengangkutan,Total Marjin Perdagangan dan Biaya Pengangkutan,Total Pajak dikurang Subsidi atas Produk,Output Domestik Harga Dasar,Total Penyediaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,Jasa Kesehatan dan Kegiatan Sosial," 63,995 "," 1,379,462 "," 2,805,501 "," 3,788 "," 7,645 "," 392,497 "," 3,197,491 "," 5,608,341 "," 38,556 "," 57,658 "," 1,577,780 "," 1,109,309 "," 1,918,257 "," 4,980,412 "," 540,066 "," 3,204,560 "," 1,851,705 "," 28,737,023 "," 297,011,990 "," 20,777,245 "," 337,026,841 ", - , - , - ," 1,734,044 "," 656,550,120 "," 685,287,143 ", - , - , - , - , - , - , - , - , - ," 685,287,143 "," 685,287,143 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,Jasa lainnya," 970,901 "," 562,124 "," 3,340,345 "," 649,615 "," 187,847 "," 15,646,474 "," 4,105,354 "," 8,725,374 "," 257,741 "," 20,022,751 "," 757,104 "," 2,242,251 "," 2,652,389 "," 3,145,491 "," 3,985,290 "," 4,453,688 "," 8,960,529 "," 80,665,268 "," 215,874,100 "," 162,445,118 "," 5,795,393 ", - , - , - ," 4,159,871 "," 388,274,482 "," 468,939,750 ", - , - , - , - , - , - , - , - , - ," 468,939,750 "," 468,939,750 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i.f.,adjustment i.f., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,Total Input Antara," 498,469,309 "," 481,593,856 "," 4,084,044,763 "," 576,877,687 "," 21,494,153 "," 1,719,357,268 "," 784,043,092 "," 709,194,609 "," 615,064,907 "," 383,437,821 "," 196,912,328 "," 213,570,838 "," 332,241,318 "," 334,978,297 "," 201,063,132 "," 373,903,613 "," 193,717,699 "," 11,719,964,690 "," 8,290,490,427 "," 201,653,378 "," 1,393,983,295 "," 4,429,356,684 ","-19,855,373 "," 2,466,592,187 "," 218,065,238 "," 16,980,285,836 "," 28,700,250,526 ", - , - , - , - , - , - , - , - , - ," 28,700,250,526 "," 28,700,250,526 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,Pajak Dikurang Subsidi Atas Produk,"-26,795,579 "," 4,767,425 "," 56,196,711 "," 1,136,121 "," 235,787 "," 29,969,734 "," 6,703,627 "," 10,915,741 "," 5,833,560 "," 1,705,006 "," 707,470 "," 865,534 "," 1,776,554 "," 2,250,985 "," 1,168,905 "," 2,676,257 "," 1,969,297 "," 102,083,135 "," 317,751,872 ", - , - ," 147,744,584 ","-549,136 "," 4,264,318 ", - ," 469,211,638 "," 571,294,773 ", - , - , - , - , - , - , - , - ," 571,294,773 ", - ," 571,294,773 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,Total Konsumsi Antara Impor," 61,233,496 "," 74,031,880 "," 853,373,668 "," 19,984,456 "," 4,662,346 "," 354,691,642 "," 84,371,343 "," 94,651,336 "," 45,409,264 "," 41,601,877 "," 19,149,701 "," 16,691,787 "," 40,556,210 "," 27,919,990 "," 25,375,324 "," 46,973,899 "," 18,302,526 "," 1,828,980,745 "," 304,296,843 ", - ," 892,242 "," 319,949,207 ","-31,974,741 ", - , - ," 593,163,551 "," 2,422,144,296 "," 2,060,113,093 "," 362,031,203 ", - ," 2,422,144,296 ", - , - , - , - , - , - ," 2,422,144,296 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,Kompensasi Tenaga Kerja," 758,855,037 "," 224,600,593 "," 975,126,797 "," 33,575,863 "," 9,973,317 "," 636,074,956 "," 892,738,381 "," 254,462,249 "," 257,623,629 "," 198,674,839 "," 256,994,548 "," 67,220,608 "," 185,704,604 "," 334,181,165 "," 425,518,415 "," 153,303,472 "," 146,174,051 "," 5,810,802,524 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,Surplus Usaha Bruto," 1,282,990,498 "," 749,888,356 "," 2,136,615,725 "," 126,444,722 "," 33,610,772 "," 697,695,466 "," 1,155,345,729 "," 458,037,560 "," 260,270,549 "," 492,909,612 "," 454,349,822 "," 644,498,922 "," 266,553,452 "," 55,343,019 "," 109,678,356 "," 108,207,669 "," 107,854,495 "," 9,140,294,724 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2030,Pajak Dikurang Subsidi Lainnya Atas Produksi," 9,009,517 "," 5,354,698 "," 30,050,794 "," 354,163 "," 92,686 "," 5,062,818 "," 8,298,909 "," 4,919,431 "," 3,363,048 "," 4,243,380 "," 1,886,301 "," 21,395,635 "," 2,314,499 ", - ," 634,914 "," 222,233 "," 921,682 "," 98,124,708 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2090,Total Input Primer," 2,050,855,052 "," 979,843,647 "," 3,141,793,316 "," 160,374,748 "," 43,676,775 "," 1,338,833,240 "," 2,056,383,019 "," 717,419,240 "," 521,257,226 "," 695,827,831 "," 713,230,671 "," 733,115,165 "," 454,572,555 "," 389,524,184 "," 535,831,685 "," 261,733,374 "," 254,950,228 "," 15,049,221,956 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2100,Total Input," 2,583,762,278 "," 1,540,236,808 "," 8,135,408,458 "," 758,373,012 "," 70,069,061 "," 3,442,851,884 "," 2,931,501,081 "," 1,532,180,926 "," 1,187,564,957 "," 1,122,572,535 "," 930,000,170 "," 964,243,324 "," 829,146,637 "," 754,673,456 "," 763,439,046 "," 685,287,143 "," 468,939,750 "," 28,700,250,526 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
