price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHK,Nusa Tenggara Timur,2024,Q1,2024Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,461.15
ADHK,Nusa Tenggara Timur,2024,Q1,2024Q1,RSTU,Jasa Lainnya,325.43
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,A,"Pertanian, Kehutanan dan Perikanan",5558.41
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,B,Pertambangan dan Penggalian,226.31
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,C,Industri Pengolahan,257.07
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,D,Pengadaan Listrik dan Gas,18.88
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.65
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,F,Konstruksi,1920.43
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2482.36
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,H,Transportasi dan Pergudangan,954.45
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,I,Penyediaan Akomodasi dan Makan Minum,147.61
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,J,Informasi dan Komunikasi,1952.24
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,K,Jasa Keuangan dan Asuransi,808.65
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,L,Real Estate,450.7
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,MN,Jasa Perusahaan,25.95
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2549.65
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,P,Jasa Pendidikan,1572.87
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,PDRB,Produk Domestik Regional Bruto,19760.1
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,489.08
ADHK,Nusa Tenggara Timur,2024,Q2,2024Q2,RSTU,Jasa Lainnya,330.8
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,A,"Pertanian, Kehutanan dan Perikanan",5254.3
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,B,Pertambangan dan Penggalian,234.65
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,C,Industri Pengolahan,244.49
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,D,Pengadaan Listrik dan Gas,20.51
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.34
ADHK,Nusa Tenggara Timur,2024,Q3,2024Q3,F,Konstruksi,2050.53
