price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kep. Bangka Belitung,2020,Q3,2020Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,249.68
ADHB,Kep. Bangka Belitung,2020,Q3,2020Q3,RSTU,Jasa Lainnya,158.35
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,A,"Pertanian, Kehutanan dan Perikanan",4050.54
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,B,Pertambangan dan Penggalian,1694.18
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,C,Industri Pengolahan,3887.93
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,D,Pengadaan Listrik dan Gas,25.96
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.28
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,F,Konstruksi,2008.58
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3021.44
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,H,Transportasi dan Pergudangan,754.21
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,I,Penyediaan Akomodasi dan Makan Minum,594.0
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,J,Informasi dan Komunikasi,425.96
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,K,Jasa Keuangan dan Asuransi,361.95
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,L,Real Estate,726.61
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,MN,Jasa Perusahaan,57.91
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1255.04
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,P,Jasa Pendidikan,523.3
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,PDRB,Produk Domestik Regional Bruto,19860.9
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,287.9
ADHB,Kep. Bangka Belitung,2020,Q4,2020Q4,RSTU,Jasa Lainnya,181.12
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,A,"Pertanian, Kehutanan dan Perikanan",3961.88
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,B,Pertambangan dan Penggalian,1877.83
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,C,Industri Pengolahan,4185.6
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,D,Pengadaan Listrik dan Gas,26.51
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.31
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,F,Konstruksi,2014.68
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3002.28
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,H,Transportasi dan Pergudangan,699.09
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,I,Penyediaan Akomodasi dan Makan Minum,596.75
ADHB,Kep. Bangka Belitung,2021,Q1,2021Q1,J,Informasi dan Komunikasi,435.82
