price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kalimantan Utara,2020,Q1,2020Q1,P,Jasa Pendidikan,645.43
ADHB,Kalimantan Utara,2020,Q1,2020Q1,PDRB,Produk Domestik Regional Bruto,25290.46
ADHB,Kalimantan Utara,2020,Q1,2020Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,271.69
ADHB,Kalimantan Utara,2020,Q1,2020Q1,RSTU,Jasa Lainnya,173.95
ADHB,Kalimantan Utara,2020,Q2,2020Q2,A,"Pertanian, Kehutanan dan Perikanan",4105.18
ADHB,Kalimantan Utara,2020,Q2,2020Q2,B,Pertambangan dan Penggalian,6087.71
ADHB,Kalimantan Utara,2020,Q2,2020Q2,C,Industri Pengolahan,2230.35
ADHB,Kalimantan Utara,2020,Q2,2020Q2,D,Pengadaan Listrik dan Gas,13.92
ADHB,Kalimantan Utara,2020,Q2,2020Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.79
ADHB,Kalimantan Utara,2020,Q2,2020Q2,F,Konstruksi,3370.37
ADHB,Kalimantan Utara,2020,Q2,2020Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2979.25
ADHB,Kalimantan Utara,2020,Q2,2020Q2,H,Transportasi dan Pergudangan,1649.87
ADHB,Kalimantan Utara,2020,Q2,2020Q2,I,Penyediaan Akomodasi dan Makan Minum,362.03
ADHB,Kalimantan Utara,2020,Q2,2020Q2,J,Informasi dan Komunikasi,628.19
ADHB,Kalimantan Utara,2020,Q2,2020Q2,K,Jasa Keuangan dan Asuransi,268.02
ADHB,Kalimantan Utara,2020,Q2,2020Q2,L,Real Estate,186.94
ADHB,Kalimantan Utara,2020,Q2,2020Q2,MN,Jasa Perusahaan,56.0
ADHB,Kalimantan Utara,2020,Q2,2020Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1209.52
ADHB,Kalimantan Utara,2020,Q2,2020Q2,P,Jasa Pendidikan,631.28
ADHB,Kalimantan Utara,2020,Q2,2020Q2,PDRB,Produk Domestik Regional Bruto,24253.56
